,district,sub_district,sum(aadhaar_generated)
851,Udaipur,Lasadiya,1
852,Udaipur,Sarada,0
853,Udaipur,Vallabhnagar,7
854,Ujjain,Badnagar,11
855,Ujjain,For New VTC,0
856,Ujjain,Ghatiya,10
857,Ujjain,Khacharod,0
858,Ujjain,Mahidpur,12
859,Ujjain,Nagda,1
860,Ujjain,Tarana,26
861,Ujjain,Ujjain,0
862,Umaria,Bandhogarh,91
863,Valsad,Pardi,1
864,Vidisha,Ganj Basoda,16
865,Vidisha,Gyaraspur,2
866,Vidisha,Kurwai,2
867,Vidisha,Lateri,0
868,Vidisha,Nateran,10
869,Vidisha,Vidisha,31
870,Viluppuram,Viluppuram,9
871,Wardha,Wardha,1
872,Washim,Malegaon,5
873,Washim,Risod,7
874,Washim,Washim,22
875,West Delhi,Dwarka,2
876,West Delhi,Punjabi Bagh,2
877,West Singhbhum,Bandgaon,9
878,West Singhbhum,Chaibasa,4
879,West Singhbhum,Chakradharpur,15
880,West Singhbhum,Goilkera,8
881,West Singhbhum,Jagannathpur,26
882,West Singhbhum,Jhinkpani,2
883,West Singhbhum,Khuntpani,13
884,West Singhbhum,Kumardungi,14
885,West Singhbhum,Majhgaon,12
886,West Singhbhum,Manoharpur,9
887,West Singhbhum,Noamundi (barajamda),37
888,West Singhbhum,Sonua,10
889,West Singhbhum,Tantnagar,0
890,West Singhbhum,Tonto,16
891,West Tripura,Agartala Sadar,6
892,West Tripura,Dukli,1
893,West Tripura,Hezamara,2
894,West Tripura,Jirania,6
895,West Tripura,Mohanpur,2
896,Yadgir,Shahpur,9
897,Yamuna Nagar,Chhachhrauli,12
898,Yamuna Nagar,Jagadhri,131
899,Yavatmal,Arni,2
900,Yavatmal,Babulgaon,11
901,Yavatmal,Digras,0
902,Yavatmal,Ghatanji,3
903,Yavatmal,Kalamb,24
904,Yavatmal,Mahagaon,5
905,Yavatmal,Pusad,2
906,Yavatmal,Ralegaon,1
907,Yavatmal,Umarkhed,6
908,Yavatmal,Yavatmal,3
