Malkapur |{20.52 76.12||20.535997 76.112408}|
Aguachica |{8.3125 73.62694444444445||8.316666666666666 -73.63333333333334}|
Codazzi |{10.033333333333333 -73.23333333333333||10.033333333333333 -74.23333333333333}|
|{Satana||सटाणा}| |{20.5797 74.216||20.593611111111112 74.2}|
|{Shahpur||शाहपुर}| |{25.58 84.45||25.6 84.4}|
|{Xingcheng||兴城||兴城市}| |{40.4975 120.8013888888889||40.61666666666667 120.73333333333333}|
Chuy |{-33.68333333333333 -53.45||-33.75096944444444 -53.39469444444445}|
|{Kurdish: Xurmatû||Turkish: Tuz hurma||Tuz Khormato}| |{34.87722222222222 44.638333333333335||34.88333333333333 44.63333333333333}|
|Villa de Álvarez| |{19.25 -103.73333333333333||19.267222222222223 -103.73777777777778}|
|{Edo||江戸}| NULL
|Long Island City| NULL
宇土市 NULL
|{Alakanuk||Alarneq}| |62.68472222222222 -164.64527777777778|
|City of Emeryville| |37.83138888888889 -122.28527777777778|
|City of Lake Elsinore| |33.68138888888889 -117.34527777777778|
|Arcadia Florida| NULL
|Yerington Nevada| |38.985277777777775 -119.16527777777777|
|City of Las Cruces| |32.319722222222225 -106.76527777777778|
|Willow City North Dakota| |48.604166666666664 -100.29472222222222|
|Rhame North Dakota| |46.23416666666667 -103.65472222222222|
|Drain Oregon| |43.66166666666667 -123.31472222222222|
|Paisley Oregon| |42.693333333333335 -120.54527777777778|
|Newport Oregon| |44.60444444444445 -124.05472222222222|
|Echo Oregon| |45.74111111111111 -119.19472222222223|
|Grantsville Utah| |40.59583333333333 -112.46527777777777|
|Leavenworth Washington| |47.59638888888889 -120.66527777777777|
|Ocean Shores Washington| |46.971666666666664 -124.15472222222222|
|Amarillo Texas| |35.19916666666666 -101.84527777777778|
御坊市 NULL
NULL NULL
栃木市 NULL
Tecomán |18.90888888888889 -103.87472222222222|
|Waterbury Connecticut| NULL
|Onalaska Wisconsin| NULL
NULL NULL
NULL NULL
NULL NULL
NULL NULL
NULL NULL
NULL NULL
NULL NULL
NULL NULL
NULL NULL
NULL NULL
|{City of San Jose del Monte||Lungsod ng San Jose del Monte}| |14.813888888888888 121.04527777777778|
北広島 NULL
|{City of Eniwa Eniwa-shi||恵庭市}| NULL
石狩 NULL
夕張 NULL
美唄 NULL
赤平 NULL
芦別 NULL
岩見沢 NULL
砂川 NULL
滝川 NULL
歌志内 NULL
士別 NULL
深川 NULL
名寄 NULL
|{旭川||旭川市}| NULL
紋別 NULL
網走 NULL
北見 NULL
室蘭 NULL
登別 NULL
伊達 NULL
苫小牧 NULL
帯広 NULL
釧路 NULL
根室 NULL
宮古市 NULL
|{盛岡||盛岡市 · Morioka City}| NULL
大船渡市 NULL
花巻市 NULL
久慈市 NULL
北上市 NULL
遠野市 NULL
一関市 NULL
陸前高田市 NULL
二戸市 NULL
塩竈市 NULL
石巻市 NULL
名取市 NULL
角田市 NULL
多賀城市 NULL
|{岩沼||岩沼市 · Iwanuma City}| NULL
能代市 NULL
白石市 NULL
横手市 NULL
大館市 NULL
湯沢市 NULL
男鹿市 NULL
鹿角市 NULL
米沢市 NULL
鶴岡市 NULL
寒河江市 NULL
酒田市 NULL
上山市 NULL
|{山形||山形市 · Yamagata City}| NULL
新庄市 NULL
長井市 NULL
村山市 NULL
天童市 NULL
東根市 NULL
尾花沢市 NULL
南陽市 NULL
須賀川市 NULL
喜多方市 NULL
二本松市 NULL
|{相馬||相馬市 · Sōma City}| NULL
結城市 NULL
白河市 NULL
龍ヶ崎市 NULL
下妻市 NULL
常総市 NULL
常陸太田市 NULL
高萩市 NULL
北茨城市 NULL
笠間市 NULL
牛久市 NULL
ひたちなか市 NULL
取手市 NULL
守谷市 NULL
佐野市 NULL
鹿沼市 NULL
|{宇都宮||宇都宮市 · Utsunomiya}| NULL
真岡市 NULL
矢板市 NULL
日光市 NULL
|{大田||大田区 · Ōta City}| NULL
|{川越||川越市 · Kawagoe}| NULL
川口市 NULL
|{所沢||所沢市 · Tokorozawa}| NULL
秩父市 NULL
東松山 NULL
|{本庄||本庄市 · Honjō}| NULL
|{春日部||春日部市 · Kasukabe}| NULL
狭山市 NULL
鴻巣市 NULL
深谷市 NULL
上尾市 NULL
|{越谷||越谷市 · Koshigaya}| NULL
|{草加||草加市 · Sōka}| NULL
蕨市 NULL
入間市 NULL
朝霞市 NULL
新座市 NULL
富士見市 NULL
三郷市 NULL
坂戸市 NULL
幸手市 NULL
|{吉川市||吉川市 · Yoshikawa}| NULL
成田市 NULL
新発田市 NULL
小千谷市 NULL
三条市 NULL
柏崎市 NULL
十日町市 NULL
村上市 NULL
燕市 NULL
妙高市 NULL
糸魚川市 NULL
五泉市 NULL
